candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Steve,2009,net,2,6,11,17,23,34,43,57,86,114
Tassedethe,2009,net,1,3,6,10,13,17,22,30,41,52
Tcncv,2009,net,2,5,8,13,16,23,30,41,65,86
Tedder,2009,net,1,4,7,11,12,18,20,29,46,62
ThaddeusB,2009,net,3,6,13,18,24,34,43,59,86,115
The Earwig,2009,net,2,5,9,14,19,28,35,47,70,90
The ed17,2009,net,4,8,12,17,17,18,18,35,85,139
TheDJ,2009,net,2,5,8,13,16,24,26,33,55,69
Tinucherian,2009,net,4,9,18,27,35,53,66,88,128,172
Tnxman307,2009,net,2,4,8,12,16,24,30,40,61,76
Toon05,2009,net,1,3,6,8,11,16,19,26,39,53
Ucucha,2009,net,2,6,12,18,24,36,43,56,84,113
Valley2city,2009,net,1,3,6,9,11,18,23,32,46,63
Vianello,2009,net,1,3,4,7,10,16,20,26,37,51
Wadester16,2009,net,-1,3,7,10,17,27,29,29,60,92
WereSpielChequers,2009,net,2,5,11,16,22,30,30,43,66,93
Willking1979,2009,net,2,5,5,5,7,9,10,5,33,59
Wtmitchell,2009,net,1,3,7,10,14,21,25,33,47,63
7,2009,net,2,6,11,15,21,30,28,32,32,29
95jb14,2009,net,-1,-2,-1,-1,-3,-4,-5,-6,-11,-19
A new name 2008,2009,net,3,8,13,14,20,23,27,36,46,56
Alan16,2009,net,-1,-1,0,0,1,1,0,-4,-5,-4
Arbiteroftruth,2009,net,-1,0,-2,-4,-7,-10,-9,-7,-6,-9
ArcAngel,2009,net,-1,-2,-4,-6,-8,-8,-8,-9,-11,-16
Baseball Bugs,2009,net,4,9,18,15,19,17,12,11,11,10
Basket of Puppies,2009,net,-2,-4,-1,3,0,2,-1,2,3,7
Bazj,2009,net,-1,0,0,0,-1,1,-2,3,4,-1
BQZip01,2009,net,2,5,6,10,11,17,19,29,26,37
Bwilkins,2009,net,1,3,2,0,1,1,-1,-4,-3,1
Ceranthor,2009,net,3,9,16,24,29,37,41,28,61,53
ChildofMidnight,2009,net,-1,-1,-2,-2,-4,-9,-11,-18,-28,-36
Chzz,2009,net,0,2,5,4,7,15,24,33,22,-14
Cryptic C62,2009,net,-2,-2,0,1,1,0,0,2,2,5
Cyclonebiskit,2009,net,1,1,-1,-2,-3,-3,-3,-6,-8,-11
Cyclonenim,2009,net,1,1,2,3,4,6,7,10,14,16
Dendodge,2009,net,2,2,4,8,10,14,12,17,22,26
Download,2009,net,1,2,0,1,0,4,5,2,1,4
Dylan620,2009,net,1,1,0,1,-1,-3,-2,-3,-5,-8
Everyking,2009,net,1,4,-2,6,15,31,32,44,51,69
Gaelen S.,2009,net,-1,-2,-4,-6,-7,-9,-12,-16,-18,-23
Gaia Octavia Agrippa,2009,net,1,2,5,3,3,-1,-5,-8,-10,-5
Giants27,2009,net,2,2,3,4,2,7,10,16,20,25
Gordonrox24,2009,net,-1,-3,-7,-6,-5,-7,-9,-12,-16,-22
Graymornings,2009,net,-1,-1,-3,-2,-1,-3,-5,-3,1,-2
GrooveDog,2009,net,1,-1,-1,-4,-6,-10,-11,-15,-19,-22
Grsz11,2009,net,2,4,8,11,15,17,18,20,13,5
Headbomb,2009,net,2,6,11,12,15,17,19,23,36,35
Hereford,2009,net,-1,-1,-3,-4,-5,-6,-7,-8,-14,-20
HJ Mitchell,2009,net,2,4,6,9,10,12,14,10,18,19
IMatthew,2009,net,2,6,12,18,20,24,24,26,35,36
ImperatorExercitus,2009,net,-1,-3,-5,-5,-9,-8,-3,7,22,14
Ironholds,2009,net,3,6,10,11,19,19,23,34,48,47
ISD,2009,net,1,1,3,2,1,1,1,-4,-15,-23
Itsmejudith,2009,net,-1,-1,-2,2,4,11,13,20,42,52
J04n,2009,net,2,4,8,12,16,18,18,14,10,8
James Frankcom,2009,net,-1,-1,-2,-1,1,-2,-3,-7,-12,-19
Jeffrey Mall,2009,net,1,1,-2,-4,-3,-2,1,0,7,13
Jerem43,2009,net,1,2,5,6,5,5,2,-4,-16,-19
Katerenka,2009,net,1,4,5,6,7,8,3,3,-3,4
Kelapstick,2009,net,1,3,6,9,12,18,20,24,33,40
Kingpin13,2009,net,-1,0,-1,3,7,4,2,8,15,14
Ktr101,2009,net,-1,-2,-1,1,-1,-2,-4,-9,-10,-12
Kww,2009,net,6,14,22,27,29,32,28,43,71,94
Leonard^Bloom,2009,net,0,0,-1,-1,-1,0,-1,-3,-5,-7
Letsdrinktea,2009,net,0,1,2,2,2,-1,-1,-1,-4,-8
LouriePieterse,2009,net,1,0,-3,-3,-4,-6,-8,-13,-14,-13
MacMed,2009,net,-1,-2,-3,-3,-3,-3,0,1,-2,-8
Magog the Ogre,2009,net,1,0,-2,-3,-5,-4,-5,-6,-11,-10
Majorly,2009,net,4,10,19,24,29,37,40,42,44,39
Markhurd,2009,net,-2,-4,-4,-3,-4,-3,-2,0,4,7
Mayalld,2009,net,2,4,6,2,-1,-7,-9,-8,-7,-5
Mythdon,2009,net,-1,-2,-4,-7,-8,-9,-11,-17,-26,-35
Neurolysis,2009,net,3,6,13,17,23,36,45,53,64,51
Nosleep,2009,net,2,3,3,5,4,6,5,8,6,7
Ottava Rima,2009,net,4,5,4,5,1,-8,-14,-18,-34,-45
Polargeo,2009,net,2,5,6,5,6,8,12,16,23,26
Porchcrop,2009,net,-1,-2,-3,-5,-7,-10,-13,-17,-25,-27
Pr3st0n,2009,net,-1,-2,-5,-7,-7,-6,-6,-9,-10,-13
Pyfan,2009,net,2,4,5,5,3,0,2,0,-8,-20
RayAYang,2009,net,2,4,7,10,8,9,11,14,17,13
Raza0007,2009,net,1,0,-2,-2,-2,-4,-5,-5,-8,-10
Red Thunder,2009,net,2,2,4,5,3,1,0,3,4,-3
Renaissancee,2009,net,1,-2,-3,-3,-3,-7,-6,-7,0,-1
Roux,2009,net,3,4,6,6,6,0,-2,0,-9,-17
S Marshall,2009,net,2,2,6,5,8,17,21,27,29,26
Salavat,2009,net,1,1,2,1,3,6,9,11,13,16
Sebwite,2009,net,0,-2,-1,3,4,-4,-9,-16,-29,-37
Sephiroth storm,2009,net,0,-2,-2,-4,-5,-7,-4,-5,-2,5
Shark96z,2009,net,-1,-2,-2,0,-1,-1,-4,-7,-13,-18
Shoessss,2009,net,1,1,-1,-4,-7,-11,-14,-12,-18,-21
Spongefrog,2009,net,1,2,1,3,4,3,0,-4,-9,-11
Steve Crossin,2009,net,1,3,5,5,8,13,17,23,25,25
Synergy,2009,net,2,6,10,16,20,29,36,47,52,55
Tango,2009,net,0,-3,-6,-11,-11,-17,-20,-28,-46,-59
TenPoundHammer,2009,net,-1,-1,-2,-5,-4,-3,-4,-3,-2,-7
Teratornis,2009,net,2,5,9,13,17,19,19,22,21,23
The Transhumanist,2009,net,1,4,7,10,14,21,24,25,27,15
Theleftorium,2009,net,1,3,6,9,12,16,18,23,29,27
Thumperward,2009,net,0,3,6,12,15,22,29,34,35,21
Timmeh,2009,net,2,7,16,20,16,20,19,34,64,68
TParis00ap,2009,net,-2,-2,3,7,7,13,12,16,15,12
TreasuryTag,2009,net,2,0,-2,-5,-7,-6,-9,-11,-17,-29
Until It Sleeps,2009,net,-1,0,-5,-10,-10,-12,-11,-9,-7,0
Vicenarian,2009,net,0,-2,-5,-2,-1,0,3,2,6,6
Vivio Testarossa,2009,net,1,2,3,5,6,3,4,2,-7,-15
Wiki Greek Basketball,2009,net,-1,-2,-4,-6,-7,-11,-13,-19,-28,-37
Wikiwoohoo,2009,net,-1,-1,-1,0,0,1,3,0,6,3
WWEYANKS52,2009,net,1,-1,-2,-2,1,0,1,-4,-14,-25
ZooFari,2009,net,-1,-1,-4,0,-3,-7,-6,-8,-8,-10
^demon,2008,net,3,3,6,7,7,6,9,20,26,36
52 Pickup,2008,net,1,2,4,6,8,12,13,16,23,32
Addshore,2008,net,5,9,18,28,35,32,28,50,107,137
Aervanath,2008,net,3,5,7,10,12,22,25,31,42,59
Aitias,2008,net,5,6,6,6,12,23,24,38,68,121
AKeen,2008,net,-1,0,2,3,5,8,11,15,22,31
Ale jrb,2008,net,1,3,6,9,12,19,22,30,44,60
Aleta,2008,net,-2,0,4,7,11,19,23,33,52,69
Alex.muller,2008,net,1,3,4,7,11,17,20,28,38,40
Alexf,2008,net,1,3,5,8,10,10,14,17,22,31
Ameliorate!,2008,net,2,4,9,12,17,24,29,40,60,81
AngelOfSadness,2008,net,2,4,8,11,15,24,30,40,61,81
AniMate,2008,net,2,4,8,13,17,26,30,40,61,81
Appraiser,2008,net,1,2,4,6,8,13,16,20,29,39
Aqwis,2008,net,1,3,6,8,11,16,19,22,34,45
Archtransit,2008,net,1,3,5,8,11,16,20,26,40,53
Barneca,2008,net,1,4,7,10,14,21,26,33,48,66
Bedford,2008,net,2,4,9,14,18,27,34,40,60,77
Ben MacDui,2008,net,2,5,9,14,18,26,32,44,67,88
Berig,2008,net,2,5,8,13,17,24,28,33,51,64
Bigtimepeace,2008,net,2,4,9,13,18,26,33,44,64,86
BirgitteSB,2008,net,-1,-1,3,8,13,22,31,46,82,109
Bjweeks,2008,net,2,6,10,16,19,29,34,47,65,76
Blueboy96,2008,net,1,3,6,9,12,14,16,22,31,39
Buckshot06,2008,net,2,4,8,12,15,23,29,39,58,76
Cailil,2008,net,2,4,7,9,12,17,23,26,45,56
Camaron1,2008,net,1,2,5,7,10,15,18,24,33,43
Canley,2008,net,1,3,6,9,12,18,23,30,46,61
CapitalR,2008,net,2,5,7,10,14,24,28,40,60,79
Cbl62,2008,net,2,4,8,11,14,22,25,35,46,66
Cenarium,2008,net,1,2,4,7,9,13,16,18,28,38
Chetblong,2008,net,0,1,2,4,4,8,11,14,20,24
Choess,2008,net,2,4,9,13,18,21,26,35,48,68
CIreland,2008,net,1,2,4,5,7,10,13,18,24,33
Cirt,2008,net,4,11,22,32,43,64,80,101,128,123
Ckatz,2008,net,1,3,6,8,11,16,21,28,41,55
Cobaltbluetony,2008,net,2,5,9,14,19,28,35,46,63,84
Daniel J. Leivick,2008,net,1,3,7,9,12,17,19,25,41,57
Dank55,2008,net,2,5,9,14,19,28,35,46,67,90
Davidgothberg,2008,net,2,4,8,11,15,19,24,34,53,72
DDima,2008,net,1,2,4,6,8,13,16,21,32,42
Ddstretch,2008,net,2,4,9,13,17,26,32,43,64,85
Deacon of Pndapetzim,2008,net,2,5,8,8,13,20,23,25,37,49
DeadEyeArrow,2008,net,2,4,9,13,18,26,33,44,56,74
Discospinster,2008,net,1,4,7,11,14,22,27,36,53,69
Djsasso,2008,net,1,2,4,5,7,12,15,20,32,43
Doczilla,2008,net,2,5,9,14,19,28,35,47,70,91
Doug,2008,net,2,4,8,12,16,24,30,40,61,81
Dougweller,2008,net,2,5,10,15,19,30,37,50,75,100
Dravecky,2008,net,1,3,7,10,13,20,25,33,49,65
EdJohnston,2008,net,1,3,5,8,10,16,20,26,39,52
Efe,2008,net,2,5,9,14,18,27,33,41,56,75
EncMstr,2008,net,1,2,3,5,6,10,12,16,24,30
Epbr123,2008,net,5,13,26,35,34,38,42,74,138,198
Esanchez7587,2008,net,1,2,3,5,7,9,12,16,25,33
Euryalus,2008,net,2,5,10,14,19,28,35,47,71,94
EyeSerene,2008,net,2,4,9,13,15,24,30,41,61,83
Firefoxman,2008,net,2,4,8,13,17,26,32,41,61,81
Frank,2008,net,-1,-2,1,5,9,16,22,29,40,48
Fritzpoll,2008,net,2,4,8,12,13,19,25,35,43,57
G.A.S,2008,net,1,3,6,9,12,18,22,30,44,55
Gadget850,2008,net,1,3,7,10,13,20,25,34,50,67
Gatoclass,2008,net,2,6,11,17,23,34,42,56,83,110
Gazimoff,2008,net,2,6,12,19,25,35,44,60,84,110
Gb,2008,net,1,3,6,7,6,10,15,22,33,45
Gladys j cortez,2008,net,2,5,9,10,16,24,24,33,47,61
Gonzo fan2007,2008,net,1,2,4,6,7,11,14,18,28,37
Good Olfactory,2008,net,2,4,9,13,18,26,32,41,59,79
GrahamColm,2008,net,3,7,14,18,25,38,49,64,93,122
Gutza,2008,net,1,2,4,6,9,13,16,21,31,42
Gwen Gale,2008,net,4,9,16,24,27,23,20,38,74,99
Happy-melon,2008,net,2,4,8,11,15,20,26,36,54,71
Happyme22,2008,net,2,5,10,16,21,28,32,41,58,73
Hdt83,2008,net,1,3,7,8,11,18,23,30,45,60
Hersfold,2008,net,2,4,8,11,15,23,28,38,57,74
Horologium,2008,net,2,5,10,15,20,30,37,50,74,99
Huntster,2008,net,2,5,9,14,18,27,34,46,68,91
Hurricanehink,2008,net,2,5,10,14,19,28,34,44,67,89
Ice Cold Beer,2008,net,2,5,10,15,18,27,34,47,69,93
Icestorm815,2008,net,1,3,6,9,11,13,12,11,19,27
Icewedge,2008,net,0,-2,-4,-6,-8,2,8,23,51,71
Islander,2008,net,1,3,6,9,12,16,20,28,43,53
It Is Me Here,2008,net,-3,-7,-10,-12,-12,-13,-5,11,43,75
J-stan,2008,net,2,4,8,13,17,25,32,42,61,80
J.delanoy,2008,net,-1,-3,0,8,14,23,35,50,88,123
J Greb,2008,net,1,2,3,5,7,12,15,20,29,40
Jac16888,2008,net,1,3,6,10,13,19,24,32,48,64
Jauerback,2008,net,1,2,4,6,8,11,14,19,28,38
Jayron32,2008,net,1,4,7,11,15,22,27,36,55,73
Jbmurray,2008,net,3,8,16,24,32,48,60,80,118,156
Jclemens,2008,net,2,4,8,12,16,24,30,40,57,75
Jeepday,2008,net,1,2,3,6,9,10,14,16,22,34
JGHowes,2008,net,2,4,9,13,17,26,32,41,61,79
John Carter,2008,net,3,7,15,22,29,44,55,73,109,145
Jonny-mt,2008,net,2,4,8,12,16,24,30,40,60,80
JPG-GR,2008,net,2,3,8,13,17,27,32,43,68,92
Juliancolton,2008,net,1,0,0,9,17,35,46,66,107,147
Jza84,2008,net,2,4,9,13,15,22,29,38,57,79
Kakofonous,2008,net,2,5,10,16,21,31,39,48,67,77
Karanacs,2008,net,2,6,12,19,25,37,43,57,87,113
Kbthompson,2008,net,1,2,4,7,9,13,16,22,33,44
Keeper76,2008,net,1,2,5,7,9,14,18,24,32,43
Keilana,2008,net,3,7,15,22,29,44,55,72,99,123
Kevin,2008,net,1,1,3,6,9,14,18,25,36,50
Kim Dent-Brown,2008,net,1,3,7,10,13,20,25,34,50,67
KnightLago,2008,net,2,5,9,14,19,28,35,46,70,93
L'Aquatique,2008,net,2,5,10,15,18,26,30,39,59,77
Lankiveil,2008,net,2,5,10,14,19,29,34,46,70,92
LAX,2008,net,1,2,4,7,9,14,17,22,32,42
Lazulilasher,2008,net,1,3,6,9,12,18,23,30,46,61
Lenticel,2008,net,1,3,6,10,13,19,24,32,48,63
Lifebaka,2008,net,2,4,8,12,15,23,29,36,56,73
Lomn,2008,net,1,3,6,8,11,17,21,27,39,53
Lquilter,2008,net,1,4,7,11,15,22,28,35,52,68
lustiger seth,2008,net,0,2,9,14,18,36,43,53,79,105
Magioladitis,2008,net,2,4,8,11,15,23,29,37,51,57
Malcolmxl5,2008,net,1,3,6,9,11,17,20,27,38,54
Malinaccier,2008,net,1,2,4,6,9,13,15,21,31,42
Martijn Hoekstra,2008,net,0,2,6,9,13,20,26,33,48,66
Master of Puppets,2008,net,3,8,15,21,29,44,55,74,109,146
Matthewedwards,2008,net,2,2,6,10,11,17,23,31,46,57
MBisanz,2008,net,1,3,6,9,12,18,22,30,43,57
MBK004,2008,net,1,2,4,4,6,10,13,16,24,34
Melesse,2008,net,1,4,7,9,12,14,17,26,38,48
MilborneOne,2008,net,2,4,7,10,14,20,23,33,51,70
Mitchazenia,2008,net,1,3,6,9,13,19,22,23,37,49
Mizu onna sango15,2008,net,2,5,2,-1,4,12,20,32,57,80
Moni3,2008,net,4,7,14,18,24,35,41,55,80,111
Nancy,2008,net,1,3,6,9,12,18,23,30,46,61
Nev1,2008,net,2,5,6,11,15,22,29,41,62,83
Nousernamesleft,2008,net,1,2,3,5,7,12,14,20,31,43
OhanaUnited,2008,net,2,4,8,12,16,23,29,39,58,78
Okiefromokla,2008,net,1,4,7,8,12,19,24,32,46,61
Parsecboy,2008,net,1,3,6,10,13,19,24,32,48,62
Paul Erik,2008,net,2,4,8,13,17,23,30,40,61,81
Pb30,2008,net,1,2,4,5,7,11,14,14,21,30
Pegship,2008,net,2,4,9,14,18,26,33,43,66,87
Peripitus,2008,net,2,5,9,14,18,28,34,46,69,92
Peteforsyth,2008,net,1,4,5,7,10,13,18,23,36,49
PeterSymonds,2008,net,2,5,10,15,20,30,37,49,74,99
Philosopher,2008,net,2,2,5,11,14,18,24,34,51,72
Pinkville,2008,net,1,3,6,8,11,16,21,28,41,54
Poeloq,2008,net,1,1,4,6,9,15,18,24,34,37
Protonk,2008,net,2,6,12,16,23,35,42,52,77,104
R. Baley,2008,net,2,5,8,11,15,25,31,41,60,74
Remember the dot,2008,net,2,4,8,12,15,23,29,36,52,70
Risker,2008,net,1,5,6,12,19,32,41,52,83,117
Rjd0060,2008,net,2,4,8,12,15,23,28,36,46,62
Rodhullandemu,2008,net,2,4,7,10,14,21,26,34,49,67
Roger Davies,2008,net,2,4,8,12,16,25,31,41,62,82
Rudget,2008,net,2,6,12,19,25,37,42,54,82,100
Ruslik0,2008,net,1,3,7,10,13,20,25,33,47,63
Sabine's Sunbird,2008,net,2,5,10,16,21,28,35,44,71,95
Sarcasticidealist,2008,net,1,3,5,8,10,15,19,26,38,51
SarekOfVulcan,2008,net,2,4,8,12,15,17,21,30,47,65
Scarian,2008,net,2,6,12,17,23,35,44,58,87,116
Scott5114,2008,net,1,3,6,9,12,18,23,30,45,61
Seddon,2008,net,2,4,8,13,17,25,30,40,61,81
Seicer,2008,net,2,6,12,18,24,36,45,60,81,86
Sephiroth BCR,2008,net,1,3,7,10,13,20,24,31,46,62
Seraphim Whipp,2008,net,2,5,9,14,19,28,35,46,69,90
Seresin,2008,net,2,2,5,8,8,13,18,23,40,53
Sgeureka,2008,net,2,4,9,13,18,27,34,46,59,73
SheffieldSteel,2008,net,3,6,12,18,23,35,44,59,86,110
shoeofdeath,2008,net,1,3,1,0,1,6,10,14,27,34
SilkTork,2008,net,1,3,7,10,14,20,24,30,47,64
Slp1,2008,net,1,4,7,11,15,22,27,36,55,72
Smalljim,2008,net,1,1,3,4,5,8,10,13,20,25
Smashville,2008,net,0,0,3,5,10,15,21,27,44,56
SorryGuy,2008,net,1,3,4,6,9,15,18,25,39,53
SoWhy,2008,net,3,7,12,18,25,33,38,52,78,107
Soxred93,2008,net,0,-2,-3,-9,-4,-9,-9,-9,29,67
Spencer,2008,net,2,5,9,14,18,27,32,44,66,89
StephenBuxton,2008,net,1,3,6,9,12,18,22,27,40,51
Steven Fruitsmaak,2008,net,2,4,8,12,16,21,27,37,54,66
Stwalkerster,2008,net,2,5,8,12,16,24,32,43,60,83
Tadakuni,2008,net,2,4,2,2,4,3,7,10,20,32
Tanner-Christopher,2008,net,1,4,7,10,10,17,21,28,44,60
Tanthalas39,2008,net,3,4,10,11,15,19,25,31,69,95
thedemonhog,2008,net,2,5,10,15,20,30,37,47,73,98
Thehelpfulone,2008,net,2,6,12,18,24,34,42,55,83,107
Thingg,2008,net,4,9,17,26,34,36,33,41,94,148
Tiptoety,2008,net,2,5,8,13,18,29,36,48,67,85
Tivedshambo,2008,net,1,3,6,9,12,17,22,29,41,55
Toddst1,2008,net,1,2,4,6,8,13,16,21,32,42
TomStar81,2008,net,2,5,10,15,19,27,34,40,58,61
Travellingcari,2008,net,2,3,7,12,15,24,31,42,63,86
TravisTX,2008,net,1,0,3,5,8,13,16,22,34,44
Ultraexactzz,2008,net,1,2,5,8,10,15,19,22,29,37
VanTucky,2008,net,4,10,20,31,39,59,74,100,146,183
Victuallers,2008,net,1,3,6,9,12,18,22,30,44,59
WBOSITG,2008,net,2,4,10,14,20,32,41,55,80,101
Wehwalt,2008,net,2,5,9,15,17,19,24,33,51,69
Werdna,2008,net,4,10,19,27,37,53,67,89,131,177
WilliamH,2008,net,2,5,10,14,19,28,35,47,71,95
Xavexgoem,2008,net,1,3,6,9,12,18,22,28,38,52
Xenocidic,2008,net,2,4,8,13,17,26,30,38,51,60
Xymmax,2008,net,1,3,6,10,13,16,18,24,37,49
Ynhockey,2008,net,3,2,7,10,13,24,31,41,63,83
Zedla,2008,net,1,3,5,7,10,15,17,24,19,22
Zeibura,2008,net,1,2,3,5,7,10,12,16,25,33
Abd,2008,net,1,1,2,6,6,6,6,4,-3,-5
Adolphus79,2008,net,2,5,9,14,16,22,24,19,18,26
Alan De Smet,2008,net,-1,0,-2,-4,-4,-5,-7,-7,-15,-19
Ali'i,2008,net,3,4,3,1,4,5,11,10,11,14
Asenine,2008,net,-1,-2,-1,-3,-5,-7,-9,-10,-15,-21
Autocracy,2008,net,1,2,3,2,0,-1,-3,-6,-8,-11
Avruch,2008,net,3,7,15,22,29,40,49,60,75,67
Benjah-bmm27,2008,net,2,6,9,11,11,22,27,34,38,48
Bettia,2008,net,0,0,3,4,3,4,3,1,2,1
Biruitorul,2008,net,2,2,2,6,9,16,24,30,32,34
Blakegripling ph,2008,net,0,-1,0,0,-3,-4,-5,-8,-17,-21
Bluegoblin7,2008,net,-1,-1,-1,-1,0,2,3,2,-4,-8
BQZip01,2008,net,2,-3,-9,-12,-16,-14,-14,-19,-25,-26
BritandBeyonce,2008,net,0,-1,-2,-2,-4,-2,-2,-2,1,7
Carter,2008,net,1,2,1,-1,-3,-4,-6,-10,-16,-18
Clpo13,2008,net,1,2,3,2,4,4,4,4,1,0
Cobi,2008,net,4,9,14,19,25,30,40,53,67,80
Coppertwig,2008,net,3,4,8,7,12,19,21,16,14,24
CWii,2008,net,1,2,3,5,6,4,4,2,-3,-9
CWY2190,2008,net,2,4,8,12,14,16,20,20,29,37
Cyclonenim,2008,net,-1,-4,-2,2,-2,0,-2,-3,3,2
Danielfolsom,2008,net,-1,0,-2,1,2,3,3,0,4,2
Darth Mike,2008,net,-1,-1,0,-1,-1,-2,-2,-5,-8,-10
Davnel03,2008,net,1,1,1,0,-1,-5,-7,-7,-6,-13
Dendodge,2008,net,-2,-6,-11,-9,-6,7,15,15,6,-2
Dihydrogen Monoxide,2008,net,3,7,11,11,14,22,28,28,32,33
Dreamafter,2008,net,0,1,2,2,2,3,0,0,5,1
Dycedarg,2008,net,-1,-2,-3,-2,0,0,-1,0,1,6
Eastlaw,2008,net,1,2,3,5,5,6,5,8,9,4
EclipseSSD,2008,net,1,1,1,3,1,-4,-7,-6,-6,-11
Ecoleetage,2008,net,0,4,9,12,18,29,37,49,69,68
Ed Poor,2008,net,3,-2,-1,4,3,3,2,-6,-25,-45
Editorofthewiki,2008,net,1,-1,0,2,2,-2,-4,-4,-12,-22
Enigmaman,2008,net,2,6,12,17,21,25,28,34,37,46
EricV89,2008,net,-1,-3,-3,-6,-8,-7,-5,-11,-19,-30
Everyking,2008,net,5,13,21,32,37,49,61,84,82,89
Finalnight,2008,net,2,4,8,9,11,17,23,25,36,31
Fordmadoxfraud,2008,net,0,-2,3,5,9,19,21,26,37,38
Foxy Loxy,2008,net,1,2,2,1,-1,-5,-5,-8,-10,-7
Geni,2008,net,0,-1,1,-3,0,-12,-8,4,9,21
George The Dragon,2008,net,1,2,1,1,2,2,0,2,1,-5
Golich17,2008,net,1,1,-1,0,0,-4,-9,-10,-12,-17
Grey Wanderer,2008,net,1,2,3,3,2,3,1,0,-5,-7
gromlakh,2008,net,1,1,3,2,1,0,0,0,5,3
Gtstricky,2008,net,1,1,1,2,4,5,4,1,10,13
Guest9999,2008,net,2,4,8,12,16,18,22,21,19,17
Gwynand,2008,net,2,4,8,12,15,20,19,26,33,32
HalfShadow,2008,net,1,2,3,5,7,10,12,13,6,-2
Headbomb,2008,net,-2,-2,-2,-4,-7,-7,-8,-14,-16,-28
HisSpaceResearch,2008,net,1,0,1,3,3,2,4,8,19,23
IMatthew,2008,net,2,6,11,16,19,28,34,36,43,43
Ironholds,2008,net,-1,0,-3,-8,-8,-8,-10,-7,-5,-6
Izzy007,2008,net,-2,-3,-5,-7,-6,-11,-10,-13,-12,-11
Jamesontai,2008,net,-1,-2,-6,-5,-6,4,11,10,21,23
JamieS93,2008,net,3,7,14,17,20,21,23,27,28,37
Jet,2008,net,-1,-2,-3,-5,-6,-7,-10,-14,-16,-23
John254,2008,net,1,2,5,5,4,2,-1,-6,-2,-2
Jouster,2008,net,-1,-1,-3,-4,-5,-6,-7,-9,-15,-16
Krm500,2008,net,2,0,0,1,2,7,8,18,19,27
Kumioko,2008,net,-2,-1,-1,-2,-6,-10,-10,-2,14,14
Kww,2008,net,2,2,-3,-4,-2,-4,-6,-8,-1,1
Lady Aleena,2008,net,3,9,14,23,30,26,23,22,38,26
Latics,2008,net,1,2,3,4,2,2,2,-1,-3,-4
Lawrence Cohen,2008,net,4,6,8,10,9,13,18,36,55,71
Leonard^Bloom,2008,net,-1,-1,-1,-2,-3,-1,-3,-7,-12,-18
Malleus Fatuarum,2008,net,2,3,-1,-2,-4,-2,-2,0,3,4
Mark t young,2008,net,1,0,1,1,5,6,9,10,21,33
Masterpiece2000,2008,net,1,2,1,2,3,3,1,0,-2,-9
Mastrchf91,2008,net,1,2,4,1,1,1,0,0,1,5
Milk's Favorite Cookie,2008,net,5,13,15,13,16,9,17,31,50,48
Mind meal,2008,net,-1,-2,-1,1,1,1,-1,-2,-1,4
MONGO,2008,net,3,2,8,12,16,15,16,20,17,17
Morbidthoughts,2008,net,1,-1,-3,-6,-5,-5,-6,-9,-13,-14
Morhange,2008,net,2,4,8,12,14,14,16,15,14,15
Mr. IP,2008,net,1,1,-2,-4,-4,-5,-8,-10,-21,-26
MrFish,2008,net,1,2,1,3,4,4,6,6,5,-1
MrKIA11,2008,net,0,-3,2,6,6,5,4,8,9,8
Mufka,2008,net,1,3,6,8,9,5,0,-2,-9,-11
Mvjs,2008,net,1,3,4,5,5,7,6,7,9,11
Naerii,2008,net,-2,-3,-3,-3,-5,-12,-10,-15,-15,-14
NASCAR Fan24,2008,net,1,4,7,10,14,15,17,17,26,23
Natl1,2008,net,0,0,1,3,4,6,8,8,8,1
Nja247,2008,net,1,2,4,5,5,0,0,-1,-1,-2
No1lakersfan,2008,net,1,0,-2,-1,-1,0,0,-2,-13,-17
NonvocalScream,2008,net,1,1,0,-3,-4,-7,-13,-12,-21,-32
NuclearWarfare,2008,net,2,4,8,12,13,13,15,19,18,13
Ohmpandya,2008,net,1,2,-1,-3,-4,-3,-5,-9,-18,-21
OverlordQ,2008,net,1,2,4,7,9,12,12,10,7,9
Paste,2008,net,1,1,2,1,2,4,3,-1,-7,-12
PeeJay2K3,2008,net,-1,0,1,0,-2,-4,-5,-8,-12,-16
Plasticup,2008,net,-1,-3,-2,-1,1,-2,-5,-8,-9,-4
R,2008,net,1,2,3,3,4,4,3,3,0,-4
Redfarmer,2008,net,0,1,3,4,1,2,1,-1,5,8
Redmarkviolinist,2008,net,1,-1,-4,-4,-7,-13,-17,-18,-23,-28
Rgoodermote,2008,net,-1,0,-2,-2,-1,-3,-4,-4,-10,-17
RMHED,2008,net,3,7,15,20,21,15,14,5,-14,-30
Ryan,2008,net,1,1,2,2,-1,-4,-3,-8,-15,-19
RyanLupin,2008,net,1,3,6,9,12,14,11,7,6,1
RyRy,2008,net,1,1,3,4,6,7,7,8,6,1
Sceptre,2008,net,-1,0,0,-2,-2,-1,-4,-3,-7,-14
Scetoaux,2008,net,2,3,4,4,3,7,9,8,11,7
SchfiftyThree,2008,net,1,3,6,7,10,15,19,22,23,21
Sharkface217,2008,net,2,2,6,2,3,-2,2,-2,-10,-14
Shoessss,2008,net,1,3,2,2,0,4,0,1,3,-3
